,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,label
874,7.7,0.15,0.29,1.3,0.028999999999999998,10,64,0.9932,3.35,0.39,10.1,5,1
461,7.0,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5,1
877,6.0,0.28,0.34,1.6,0.11900000000000001,33,104,0.9921,3.19,0.38,10.2,6,1
517,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3.0,0.6,10.4,6,1
1636,7.8,0.49,0.49,7.0,0.043,29,149,0.9952,3.21,0.33,10.0,5,1
1469,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5,1
1928,7.0,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,1
3641,6.0,0.25,0.4,5.7,0.052000000000000005,56,152,0.99398,3.16,0.88,10.5,6,1
4418,6.6,0.22,0.23,17.3,0.047,37,118,0.9990600000000001,3.08,0.46,8.8,6,1
3412,6.8,0.24,0.29,9.5,0.042,56,157,0.9958600000000001,3.11,0.51,10.1,6,1
1544,8.9,0.13,0.49,1.0,0.027999999999999997,6,24,0.9926,2.91,0.32,9.9,5,1
3194,5.7,0.16,0.32,1.2,0.036000000000000004,7,89,0.99111,3.26,0.48,11.0,5,1
2135,7.2,0.16,0.26,7.1,0.054000000000000006,41,224,0.9966,3.38,0.55,10.1,5,1
440,6.7,0.22,0.37,1.6,0.027999999999999997,24,102,0.9913,3.29,0.59,11.6,7,1
3687,6.0,0.16,0.27,12.0,0.03,39,98,0.9940200000000001,3.15,0.34,10.8,5,1
250,5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10.0,4,1
126,7.4,0.39,0.23,7.0,0.033,29,126,0.9940000000000001,3.14,0.42,10.5,5,1
3619,6.8,0.45,0.28,26.05,0.031,27,122,1.00295,3.06,0.42,10.6,6,1
3091,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,6,1
2685,7.0,0.16,0.36,2.6,0.028999999999999998,28,98,0.99126,3.11,0.37,11.2,7,1
1448,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,1
4769,6.8,0.27,0.3,13.0,0.047,69,160,0.99705,3.16,0.5,9.6,6,1
2970,8.4,0.31,0.31,0.95,0.021,52,148,0.9903799999999999,2.93,0.32,11.5,5,1
3390,6.9,0.29,0.3,8.2,0.026000000000000002,35,112,0.99144,3.0,0.37,12.3,6,1
2306,5.6,0.295,0.2,2.2,0.049,18,134,0.9937799999999999,3.21,0.68,10.0,5,1
2513,6.9,0.34,0.36,1.4,0.032,13,145,0.9921399999999999,3.07,0.52,9.8,5,1
3528,6.9,0.75,0.13,6.3,0.036000000000000004,19,50,0.9931200000000001,3.09,0.25,11.1,4,1
3319,5.1,0.21,0.28,1.4,0.047,48,148,0.9916799999999999,3.5,0.49,10.4,5,1
1703,6.7,0.33,0.42,6.4,0.057999999999999996,27,151,0.9954,3.16,0.44,9.6,5,1
1160,7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6,1
3795,6.5,0.25,0.27,17.4,0.064,29,140,0.9977600000000001,3.2,0.49,10.1,6,1
4815,6.2,0.76,0.01,3.2,0.040999999999999995,18,120,0.99026,3.2,0.94,13.7,7,1
2779,6.7,0.2,0.37,1.65,0.025,42,103,0.9902200000000001,3.11,0.45,11.4,5,1
4366,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,6,1
3983,5.6,0.23,0.25,8.0,0.043,31,101,0.99429,3.19,0.42,10.4,6,1
2729,6.5,0.29,0.31,1.7,0.035,24,79,0.9905299999999999,3.27,0.69,11.4,7,1
801,6.0,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,1
752,6.7,0.2,0.42,14.0,0.038,83,160,0.9987,3.16,0.5,9.4,6,1
4719,6.7,0.15,0.32,7.9,0.034,17,81,0.9951200000000001,3.29,0.31,10.0,6,1
3006,6.2,0.16,0.32,1.1,0.036000000000000004,74,184,0.9909600000000001,3.22,0.41,11.0,6,1
2725,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5,1
1507,7.8,0.26,0.74,7.5,0.044000000000000004,59,160,0.996,3.22,0.64,10.0,6,1
728,6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,1
4044,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,1
241,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,1
334,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,1
1043,7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5,1
243,6.8,0.24,0.34,2.7,0.047,64,218,0.9934,3.3,0.58,9.7,6,1
3727,5.7,0.265,0.28,6.9,0.036000000000000004,46,150,0.9929899999999999,3.36,0.44,10.8,7,1
2522,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8,1
2313,6.8,0.32,0.3,3.3,0.028999999999999998,15,80,0.99061,3.33,0.63,12.6,7,1
135,6.7,0.27,0.31,15.7,0.036000000000000004,44,179,0.9979,3.26,0.56,9.6,5,1
663,7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,1
4658,7.1,0.43,0.25,2.8,0.036000000000000004,43,132,0.98975,3.21,0.47,13.4,6,1
2714,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6,1
3230,6.7,0.13,0.57,6.6,0.055999999999999994,60,150,0.9954799999999999,2.96,0.43,9.4,6,1
4210,6.0,0.17,0.21,6.0,0.05,26,134,0.9939,3.08,0.54,9.8,6,1
4513,6.8,0.4,0.29,2.8,0.044000000000000004,27,97,0.9904,3.12,0.42,11.2,6,1
4166,5.8,0.23,0.31,3.5,0.044000000000000004,35,158,0.98998,3.19,0.37,12.1,7,1
915,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,1
3304,6.0,0.32,0.3,1.9,0.033,41,142,0.9891200000000001,3.29,0.42,12.8,7,1
1303,8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6,1
576,8.2,0.23,0.29,1.8,0.047,47,187,0.9933,3.13,0.5,10.2,6,1
3140,6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6,1
1379,6.9,0.46,0.2,0.9,0.054000000000000006,5,126,0.992,3.1,0.42,10.4,6,1
857,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5,1
694,7.6,0.29,0.58,17.5,0.040999999999999995,51,225,0.9997,3.16,0.66,9.5,6,1
3311,6.0,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,1
3015,7.2,0.32,0.3,8.25,0.02,14,104,0.9936200000000001,2.99,0.44,11.4,6,1
1845,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9.0,5,1
2562,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6,1
1595,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6,1
2581,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7,1
2670,5.9,0.34,0.31,2.0,0.03,38,142,0.98892,3.4,0.41,12.9,7,1
2252,7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5,1
164,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,1
72,6.0,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10.0,5,1
1584,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,1
2356,7.1,0.34,0.32,2.0,0.051,29,130,0.99354,3.3,0.5,10.4,6,1
2728,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,1
2902,6.2,0.36,0.14,8.9,0.036000000000000004,38,155,0.9962200000000001,3.27,0.5,9.4,5,1
1492,8.0,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10.0,5,1
4728,7.2,0.21,0.31,10.5,0.035,36,122,0.9947799999999999,3.12,0.4,10.6,6,1
4711,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,1
4215,7.0,0.44,0.24,12.1,0.055999999999999994,68,210,0.99718,3.05,0.5,9.5,5,1
3471,6.8,0.19,0.4,9.85,0.055,41,103,0.9953200000000001,2.98,0.56,10.5,6,1
3667,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13.0,8,1
1652,8.2,0.29,0.49,1.0,0.044000000000000004,29,118,0.9928,3.24,0.36,10.9,4,1
2705,6.7,0.26,0.39,6.4,0.171,64,200,0.9956200000000001,3.19,0.38,9.4,6,1
2090,7.2,0.25,0.19,8.0,0.044000000000000004,51,172,0.9964,3.16,0.44,9.2,5,1
1642,7.3,0.19,0.49,15.55,0.057999999999999996,50,134,0.9998,3.42,0.36,9.1,7,1
2153,7.5,0.18,0.39,1.9,0.054000000000000006,23,91,0.9941,3.27,0.45,10.3,6,1
2253,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9.0,5,1
374,5.1,0.33,0.22,1.6,0.027000000000000003,18,89,0.9893,3.51,0.38,12.5,7,1
2907,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6,1
2012,6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5,1
1493,8.0,0.34,0.49,9.0,0.033,39,180,0.9936,3.13,0.38,12.3,8,1
163,7.4,0.24,0.42,14.0,0.066,48,198,0.9979,2.89,0.42,8.9,6,1
3422,6.2,0.28,0.28,4.3,0.026000000000000002,22,105,0.9890000000000001,2.98,0.64,13.1,8,1
2631,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,1
3448,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13.0,7,1
3818,5.1,0.35,0.26,6.8,0.034,36,120,0.9918799999999999,3.38,0.4,11.5,6,1
936,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,1
2369,6.1,0.16,0.29,6.0,0.03,29,144,0.99474,3.68,0.46,10.7,6,1
4313,6.4,0.27,0.3,1.6,0.04,19,86,0.9908899999999999,3.32,0.65,11.5,6,1
1333,7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8,1
3459,7.6,0.22,0.28,12.0,0.055999999999999994,68,143,0.9983,2.99,0.3,9.2,6,1
2722,7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,7,1
1409,7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,6,1
1646,6.4,0.22,0.49,7.5,0.054000000000000006,42,151,0.9948,3.27,0.52,10.1,6,1
2390,7.0,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8,1
2051,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,1
1255,6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6,1
649,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,1
3092,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6,1
1445,8.3,0.2,0.74,4.45,0.044000000000000004,33,130,0.9924,3.25,0.42,12.2,6,1
1968,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6,1
3037,6.3,0.33,0.42,17.2,0.037000000000000005,57,170,0.99884,3.26,0.57,9.4,6,1
339,6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7,1
2169,7.4,0.19,0.3,12.8,0.053,48,229,0.9986,3.14,0.49,9.1,7,1
3717,6.3,0.18,0.24,3.4,0.053,20,119,0.9937299999999999,3.11,0.52,9.2,6,1
2762,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,1
1787,7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7,1
781,7.8,0.29,0.22,9.5,0.055999999999999994,44,213,0.99715,3.08,0.61,9.3,6,1
969,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,1
701,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7,1
1592,6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6,1
2448,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,1
533,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9.0,6,1
3828,6.3,0.4,0.24,5.1,0.036000000000000004,43,131,0.9918600000000001,3.24,0.44,11.3,6,1
1896,7.5,0.29,0.67,8.1,0.037000000000000005,53,166,0.9966,2.9,0.41,8.9,6,1
3674,6.6,0.34,0.2,1.0,0.053,26,112,0.99336,3.32,0.55,9.1,5,1
4652,6.1,0.38,0.47,1.4,0.051,59,210,0.9930899999999999,3.24,0.5,9.6,5,1
3564,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,1
3049,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,1
3339,7.6,0.17,0.27,4.6,0.05,23,98,0.9942200000000001,3.08,0.47,9.5,6,1
7,7.0,0.27,0.36,20.7,0.045,45,170,1.001,3.0,0.45,8.8,6,1
2483,6.3,0.27,0.37,7.9,0.047,58,215,0.9954200000000001,3.19,0.48,9.5,6,1
4454,6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3.0,0.43,9.4,6,1
3981,6.3,0.22,0.27,4.5,0.036000000000000004,81,157,0.9928,3.05,0.76,10.7,7,1
2552,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,1
4673,6.0,0.28,0.52,6.2,0.027999999999999997,37,104,0.99161,3.28,0.51,11.8,7,1
3535,6.4,0.28,0.44,7.1,0.048,49,179,0.9952799999999999,3.15,0.48,9.2,5,1
3064,7.4,0.21,0.8,12.3,0.038,77,183,0.9977799999999999,2.95,0.48,9.0,5,1
1036,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,5,1
4397,7.4,0.27,0.26,11.8,0.053,55,173,0.9969899999999999,3.11,0.6,9.8,5,1
4774,7.1,0.24,0.34,1.2,0.045,6,132,0.9913200000000001,3.16,0.46,11.2,4,1
3455,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,1
4639,6.9,0.54,0.26,12.7,0.049,59,195,0.9959600000000001,3.26,0.54,10.5,6,1
2043,7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11.0,6,1
943,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7,1
3810,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3,1
1385,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5,1
1135,6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6,1
422,7.0,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,1
3466,6.8,0.17,0.34,2.0,0.04,38,111,0.99,3.24,0.45,12.9,6,1
2645,6.7,0.12,0.3,5.2,0.048,38,113,0.9935200000000001,3.33,0.44,10.1,7,1
4433,6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5,1
3379,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5,1
1834,6.4,0.21,0.3,5.6,0.044000000000000004,43,160,0.9949,3.6,0.41,10.6,6,1
3974,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,6,1
2551,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,1
3774,6.7,0.42,0.39,12.1,0.04,61,248,0.9979399999999999,3.31,0.58,9.7,5,1
4813,5.8,0.36,0.5,1.0,0.127,63,178,0.9921200000000001,3.1,0.45,9.7,5,1
982,5.1,0.39,0.21,1.7,0.027000000000000003,15,72,0.9894,3.5,0.45,12.5,6,1
830,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,1
2570,6.6,0.24,0.28,1.8,0.027999999999999997,39,132,0.99182,3.34,0.46,11.4,5,1
4150,7.6,0.48,0.31,9.4,0.046,6,194,0.9971399999999999,3.07,0.61,9.4,5,1
4487,6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6,1
4538,7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6,1
3671,6.8,0.3,0.29,6.2,0.025,29,95,0.9907100000000001,3.03,0.32,12.9,7,1
1197,7.3,0.22,0.4,14.75,0.042,44,129,0.9998,3.36,0.41,9.1,7,1
506,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5,1
1823,7.3,0.19,0.24,6.3,0.054000000000000006,34,231,0.9964,3.36,0.54,10.0,6,1
3726,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7,1
1958,7.4,0.32,0.55,16.6,0.055999999999999994,53,238,1.0017,2.96,0.58,8.7,6,1
1226,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,1
4833,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6,1
267,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,1
4013,6.5,0.46,0.24,11.5,0.051,56,171,0.9958799999999999,3.08,0.56,9.8,6,1
2180,8.0,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6,1
3102,6.5,0.29,0.26,7.0,0.04,18,113,0.99366,3.17,0.38,10.2,6,1
317,6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,1
3134,6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6,1
3404,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6,1
3126,7.2,0.17,0.37,6.9,0.059000000000000004,47,128,0.9932200000000001,3.08,0.46,11.0,7,1
313,5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10.0,6,1
327,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10.0,6,1
2684,6.6,0.21,0.29,1.8,0.026000000000000002,35,128,0.9918299999999999,3.37,0.48,11.2,6,1
1999,7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9.0,6,1
2742,8.0,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6,1
1561,9.1,0.28,0.49,2.0,0.059000000000000004,10,112,0.9958,3.15,0.46,10.1,5,1
3595,7.2,0.16,0.29,1.0,0.031,40,123,0.9895799999999999,3.12,0.4,12.1,7,1
1020,8.6,0.2,0.42,1.5,0.040999999999999995,35,125,0.9925,3.11,0.49,11.4,7,1
2881,7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7,1
2583,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7,1
2975,8.0,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11.0,6,1
4565,5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5,1
1447,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,1
3249,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11.0,7,1
1203,5.0,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,1
4862,5.9,0.22,0.3,1.3,0.052000000000000005,42,86,0.99069,3.31,0.47,11.55,6,1
2167,7.4,0.19,0.3,12.8,0.053,48,229,0.9986,3.14,0.49,9.1,7,1
4009,6.8,0.22,0.32,5.9,0.054000000000000006,40,152,0.9938,3.2,0.57,10.8,6,1
2519,6.3,0.24,0.55,8.1,0.04,67,216,0.9959600000000001,3.24,0.5,9.2,5,1
1000,8.0,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,1
634,6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,1
322,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,1
1173,7.4,0.22,0.33,2.0,0.045,31,101,0.9931,3.42,0.55,11.4,5,1
804,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,1
2831,6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5,1
706,6.2,0.31,0.21,6.3,0.040999999999999995,50,218,0.9941,3.15,0.6,10.0,5,1
3556,4.8,0.21,0.21,10.2,0.037000000000000005,17,112,0.99324,3.66,0.48,12.2,7,1
4805,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6,1
1508,6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6,1
1648,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5,1
2872,4.2,0.17,0.36,1.8,0.028999999999999998,93,161,0.9899899999999999,3.65,0.89,12.0,7,1
2141,7.7,0.28,0.35,15.3,0.055999999999999994,31,117,0.9998,3.27,0.5,9.6,5,1
2370,6.3,0.1,0.24,6.0,0.039,25,107,0.99511,3.59,0.49,10.5,7,1
1170,7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6,1
511,7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,1
3199,6.8,0.21,0.4,6.3,0.032,40,121,0.9921399999999999,3.18,0.53,12.0,7,1
837,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,1
2212,7.0,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,1
302,6.1,0.41,0.0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6,1
2926,5.2,0.155,0.33,1.6,0.027999999999999997,13,59,0.98975,3.3,0.84,11.9,8,1
23,7.6,0.67,0.14,1.5,0.07400000000000001,25,168,0.9937,3.05,0.51,9.3,5,1
2235,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,1
573,7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7,1
664,7.1,0.17,0.38,7.4,0.052000000000000005,49,182,0.9958,3.35,0.52,9.6,6,1
550,7.0,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,1
1558,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9.0,4,1
1567,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5,1
3095,9.7,0.24,0.49,4.9,0.032,3,18,0.9936799999999999,2.85,0.54,10.0,6,1
3133,6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,6,1
4126,6.3,0.18,0.22,5.6,0.047,45,147,0.9938299999999999,3.09,0.54,10.0,5,1
4030,6.9,0.19,0.38,1.15,0.023,30,105,0.9904700000000001,3.11,0.38,11.4,5,1
3979,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6,1
4548,6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5,1
1877,8.0,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6,1
699,7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5,1
2627,7.8,0.17,0.23,1.7,0.028999999999999998,39,128,0.99272,3.37,0.41,10.7,7,1
1421,6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6,1
2439,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6,1
1418,6.9,0.35,0.74,1.0,0.044000000000000004,18,132,0.992,3.13,0.55,10.2,5,1
3555,5.8,0.14,0.15,6.1,0.042,27,123,0.9936200000000001,3.06,0.6,9.9,6,1
2802,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6,1
2315,7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11.0,6,1
3933,8.7,0.31,0.21,5.6,0.039,28,67,0.9932799999999999,2.96,0.52,11.0,4,1
3277,6.4,0.16,0.25,1.4,0.057,21,125,0.9909100000000001,3.23,0.44,11.1,7,1
1439,6.1,0.25,0.49,7.6,0.052000000000000005,67,226,0.9956,3.16,0.47,8.9,5,1
2899,6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9.0,5,1
2157,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12.0,6,1
3525,5.3,0.36,0.27,6.3,0.027999999999999997,40,132,0.9918600000000001,3.37,0.4,11.6,6,1
1902,8.8,0.23,0.35,10.7,0.04,26,183,0.9984,2.93,0.49,9.1,6,1
4316,7.2,0.585,0.2,10.4,0.086,17,94,0.9968100000000001,3.13,0.4,9.4,5,1
3434,8.2,0.34,0.29,5.2,0.076,19,92,0.9913799999999999,2.95,0.39,12.5,6,1
1777,6.5,0.18,0.26,1.4,0.040999999999999995,40,141,0.9941,3.34,0.72,9.5,6,1
615,7.5,0.23,0.68,11.0,0.047,37,133,0.9978,2.99,0.38,8.8,5,1
1141,9.3,0.34,0.49,7.3,0.052000000000000005,30,146,0.998,3.17,0.61,10.2,5,1
2582,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3.0,0.52,9.0,7,1
10,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12.0,5,1
1261,7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6,1
4205,6.7,0.41,0.27,2.6,0.033,25,85,0.9908600000000001,3.05,0.34,11.7,6,1
1814,8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3.0,0.32,12.8,7,1
2215,8.5,0.28,0.34,13.8,0.040999999999999995,32,161,0.9981,3.13,0.4,9.9,6,1
4249,5.5,0.23,0.19,2.2,0.044000000000000004,39,161,0.9920899999999999,3.19,0.43,10.4,6,1
639,5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,1
131,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,1
1090,8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,1
4224,5.4,0.22,0.35,6.5,0.028999999999999998,26,87,0.99092,3.29,0.44,12.5,7,1
381,7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9.0,6,1
4664,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.1333333333333,7,1
3206,6.6,0.29,0.39,6.75,0.031,22,98,0.9913,3.15,0.8,12.9,7,1
4481,6.4,0.32,0.26,7.9,0.05,53,180,0.9951399999999999,3.14,0.5,9.6,5,1
2477,6.1,0.27,0.31,1.5,0.035,17,83,0.9907600000000001,3.32,0.44,11.1,7,1
1541,7.1,0.53,0.24,0.8,0.028999999999999998,29,86,0.993,3.16,0.32,9.1,4,1
3046,6.9,0.24,0.37,6.1,0.027000000000000003,38,112,0.9908600000000001,3.19,0.34,12.4,6,1
4831,5.8,0.38,0.26,1.1,0.057999999999999996,20,140,0.99271,3.27,0.43,9.7,6,1
